Branch,Author,Review Text,Review Rating,Date,Likes
Kanakpura,AMV,"Personally have had from other outlets, maybe twice or thrice. I’m a vegetarian so only option into Biryani is the Paneer Variant. We ordered the Paneer ghee roast & Paneer Biryani. The ghee roast’s paneer was not upto the mark, the paneer didn’t seem fresh. The rice of the biryani was unusually too dry.<br><br>We were happy there is a new outlet, now so nearby, but the quality seemed compromised!<br>Please improve.",3,23/08/2025,
Kanakpura,Suraj Kumar,"Ordered food from here. Worst quality, found stone",1,20/08/2025,
Kanakpura,Kousik Barik,I ordered Chicken boneless briyani and meghana special biriyani it's was amazing taste and good quality and quantity for the first time ordering Meghana foods Kanakapura road food was amazing I love meghana since 2008....,5,25/08/2025,
Kanakpura,anupam 013,I have ordered meghana special chicken biryani but taste was not at all good. As I love meghana biryani a lot but after having biryani from here I thought not to order again.,1,23/08/2025,
Kanakpura,Soumya Tripathy,Meghna special Biryani rice was not good. My family members felt sick after having it yesterday.<br><br>Somehow this outlet doesn’t have the charm of Meghna foods.  taste and quality is not on par. Now I’m thinking to avoid Meghna foods.,1,25/08/2025,
Kanakpura,Sridhar Siri,"I just took 2 biryani and chicken parcel, biryani was too tangy... Not at all good to eat.",2,10/08/2025,
Kanakpura,Yugi P,"I had high expectations from Meghana Biryani, but honestly, the taste was very disappointing. The biryani lacked authentic flavor – it felt bland rather than rich and balanced. The spices didn’t blend well,. For the price, I expected much better quality and taste. Overall, it did not meet and I wouldn’t recommend it.",1,18/08/2025,
Kanakpura,Vikram,"I took box meghanas special biryani and tbh I quantity of chicken pieces is very less for the price. Instead of giving so much raita and gravy, add extra pcs of chicken. This portion is very good for one person serving but little on a expensive side.",3,19/08/2025,
Kanakpura,Srinivas Bhat,Tried Aloo dum biryani. Exceptionally good.,5,05/08/2025,
Kanakpura,Amit Nishti,"Food tastes as same as other branches, No parking and only take away opened as of now.",4,10/08/2025,1.0
Koramangala,alexjoyluke,"Exceptional Service and Great Food – A Truly Royal Experience at Koramangala Branch<br><br>I would rate their service 6 out of 5 – it was simply outstanding! I don’t recall the server’s name, but he was incredible. The attention to detail was next-level. For example, when our water bottles ran out, he replaced them instantly without us even asking. Despite being busy, he made sure we got our balance portions just before clearing the last scoop from the plate – that level of attentiveness is rare.<br><br>Even the person who took our order displayed excellent etiquette and hygiene. We had ordered a Coca-Cola can, and he opened it using tissue to cover his hand – a level of cleanliness and customer care I haven’t seen elsewhere.<br><br>I’ve been to their branches in Marathahalli, Indiranagar, JP Nagar, and Koramangala, and I must say Koramangala stands out for its exceptional service. The little things they do make a big difference. We genuinely felt like royalty – hats off to the team!<br><br>Food Review:<br><br>Prawns Ghee Roast – 4/5<br>Very good in taste, but I’ve had slightly better versions in Kochi and coastal areas. Still worth trying.<br><br>Mutton Dum Biryani – 4.5/5<br>Excellent flavors, tender and well-cooked mutton, soft rice – definitely a must-try!<br><br>Special Boneless Chicken Biryani – 4/5<br>As expected, very good and flavorful, but the mutton biryani still wins.<br><br>Special Lemon Chicken – 3.5/5<br>Good taste, but not exceptional. Personally, I prefer their regular Lemon Chicken, which is outstanding.",5,10/08/2025,1.0
Koramangala,chetan desai,"Ever since I moved to Namma Bengaluru to live my life, the name Meghana has always been associated with the biryani. It’s like they are synonyms.<br><br>Despite of being pure vegetarians, I and my friend often visit Meghana’s to enjoy their vegetarian biriyanis ( some of the people argue that there’s nothing called vegetarian biryani, it’s just pulav, I don’t care, they have got it on their menu).<br><br>Visited this Koramangala branch of this franchise for our Thursday lunch. I always prefer air conditioned rooms to dine in especially in summers, we were directed to 2nd floor.<br><br>Since it was a weekday’s , the restaurant wasn’t that crowded, infact we were the first one to arrive in AC seating area.<br><br>We were proved with menus, but we had already decided what to eat, so we chose 2 biryanis from available 4 options.<br>Paneer biryani &<br>Aloo dum biryani<br>We also ordered a sprite and a butter milk.<br><br>We got the order within few minutes.<br>First we were served with paneer biryani, no doubt this biryani being the star dish of the Meghana’s (vegetarian section),<br>The flavourful rice’s served with panee cubes which are quoted with delicious masala. Loved it.<br><br>Next we were served with aloo dum biryani, the same flavourful rice’s served with big half cut boiled aloos & spicy masala.<br><br>I prefer paneer biryani over aloo dum biryani for sure.<br><br>While my friends are, I checked the other floors and washroom. The restaurant is really well maintained, good number of seating arrangements for the customer. The washroom was clean n hygienic too.<br><br>One of the best places for a budget friendly and tasty team dinners/ team lunches.",5,25/04/2025,
Koramangala,Nirmala Pajaniradja,"Flabbergasted by their service n hospitality. Cleanliness at its best. We tried their signature meghna foods chicken biriyani and loved it. Chilli egg 🍛 was a big hit! Loved the side green sauce with the right proportion of tanginess. Raghuram, he delightfully served us food n made our experience a pleasant one. Thank you!",5,20/04/2025,
Koramangala,Chiranjeevi,"I had a great experience with Meghana Foods! I ordered their Chicken Biryani Special for takeaway and it was absolutely delicious — full of flavor and perfectly cooked. What impressed me even more was how quickly they prepared my order I got it within just 5 minutes. The staff were also very helpful and polite, which made the whole experience even better.",5,08/04/2025,
Koramangala,Chiithuzhiio Mao,"We tried the chicken biryani and it lived up to the hype. The rice was flavorful, the chicken was well-cooked and tender, and the spice level was just right. Portions were generous for its price. The place can get busy, but the service was quick.",4,22/06/2025,1.0
Koramangala,Prem,"Meghana Foods - Koramangala<br><br>A Must-Visit for Biryani Lovers!<br>Parking space is limited and can be challenging to find.<br><br>- Delicious Andhra-style biryanis<br>- Tender and flavorful food<br>- Excellent service: attentive, polite, and welcoming<br>- Vibrant and family-friendly ambiance<br>- Quick service and efficient seating arrangement<br><br>Recommended Dishes:<br>- Veg Special Biryani<br>- Aloo Dum Biryani<br>- Paneer Biryani<br><br>Price is Affordable (₹370 for Meghana Special Biryani, serves 2)<br><br>A true gem for biryani enthusiasts! Consistently delivers on quality and flavor.",4,30/03/2025,
Koramangala,Jaber M.,"Meghana Foods is a good, no-frills restaurant. One thing that stands out right away is the hygiene. All the staff wear hair nets, which gives a lot of confidence that they take cleanliness seriously. It also explains their popularity, both in terms of the number of Google reviews and how busy the place gets.<br><br>I tried the Chicken Biryani and the Pepper Chicken Fry. The biryani was not really my style, but to be fair, it is because they serve the Andhra style, which is not my preference. They do have Hyderabadi biryani as well, for those who like that. On the other hand, the Pepper Chicken Fry was excellent. I finished it in no time, it was full of flavour and cooked just right.<br><br>The staff are very friendly and maybe a bit too attentive at times, but it adds to the overall positive experience. Both dishes were quite spicy, and I felt like cooling down with a cup of chai or filter coffee, but unfortunately, they only serve cold drinks.<br><br>Overall, it is a solid choice if you want straightforward food with good hygiene standards and welcoming service.",3,13/04/2025,
