Branch,Author,Review Text,Review Rating,Date,Likes,Cleaned Review Text
Kanakpura,AMV,"Personally have had from other outlets, maybe twice or thrice. I’m a vegetarian so only option into Biryani is the Paneer Variant. We ordered the Paneer ghee roast & Paneer Biryani. The ghee roast’s paneer was not upto the mark, the paneer didn’t seem fresh. The rice of the biryani was unusually too dry.<br><br>We were happy there is a new outlet, now so nearby, but the quality seemed compromised!<br>Please improve.",3,23/08/2025,,personally outlets maybe twice thrice im vegetarian option biryani paneer variant ordered paneer ghee roast paneer biryani ghee roasts paneer upto mark paneer didnt seem fresh rice biryani unusually drybrbrwe happy new outlet nearby quality seemed compromisedbrplease improve
Kanakpura,Suraj Kumar,"Ordered food from here. Worst quality, found stone",1,20/08/2025,,ordered food here worst quality found stone
Kanakpura,Kousik Barik,I ordered Chicken boneless briyani and meghana special biriyani it's was amazing taste and good quality and quantity for the first time ordering Meghana foods Kanakapura road food was amazing I love meghana since 2008....,5,25/08/2025,,ordered chicken boneless briyani meghana special biriyani amazing taste good quality quantity first time ordering meghana foods kanakapura road food amazing love meghana since
Kanakpura,anupam 013,I have ordered meghana special chicken biryani but taste was not at all good. As I love meghana biryani a lot but after having biryani from here I thought not to order again.,1,23/08/2025,,ordered meghana special chicken biryani taste good love meghana biryani lot biryani thought order again
Kanakpura,Soumya Tripathy,Meghna special Biryani rice was not good. My family members felt sick after having it yesterday.<br><br>Somehow this outlet doesn’t have the charm of Meghna foods.  taste and quality is not on par. Now I’m thinking to avoid Meghna foods.,1,25/08/2025,,meghna special biryani rice good family members felt sick yesterdaybrbrsomehow outlet doesnt charm meghna foods taste quality par im thinking avoid meghna foods
Kanakpura,Sridhar Siri,"I just took 2 biryani and chicken parcel, biryani was too tangy... Not at all good to eat.",2,10/08/2025,,took biryani chicken parcel biryani tangy good eat
Kanakpura,Yugi P,"I had high expectations from Meghana Biryani, but honestly, the taste was very disappointing. The biryani lacked authentic flavor – it felt bland rather than rich and balanced. The spices didn’t blend well,. For the price, I expected much better quality and taste. Overall, it did not meet and I wouldn’t recommend it.",1,18/08/2025,,high expectations meghana biryani honestly taste disappointing biryani lacked authentic flavor felt bland rather rich balanced spices didnt blend well price expected much better quality taste overall meet wouldnt recommend it
Kanakpura,Vikram,"I took box meghanas special biryani and tbh I quantity of chicken pieces is very less for the price. Instead of giving so much raita and gravy, add extra pcs of chicken. This portion is very good for one person serving but little on a expensive side.",3,19/08/2025,,took box meghanas special biryani tbh quantity chicken pieces less price instead giving much raita gravy add extra pcs chicken portion good one person serving little expensive side
Kanakpura,Srinivas Bhat,Tried Aloo dum biryani. Exceptionally good.,5,05/08/2025,,tried aloo dum biryani exceptionally good
Kanakpura,Amit Nishti,"Food tastes as same as other branches, No parking and only take away opened as of now.",4,10/08/2025,1.0,food tastes branches parking take away opened now
Koramangala,alexjoyluke,"Exceptional Service and Great Food – A Truly Royal Experience at Koramangala Branch<br><br>I would rate their service 6 out of 5 – it was simply outstanding! I don’t recall the server’s name, but he was incredible. The attention to detail was next-level. For example, when our water bottles ran out, he replaced them instantly without us even asking. Despite being busy, he made sure we got our balance portions just before clearing the last scoop from the plate – that level of attentiveness is rare.<br><br>Even the person who took our order displayed excellent etiquette and hygiene. We had ordered a Coca-Cola can, and he opened it using tissue to cover his hand – a level of cleanliness and customer care I haven’t seen elsewhere.<br><br>I’ve been to their branches in Marathahalli, Indiranagar, JP Nagar, and Koramangala, and I must say Koramangala stands out for its exceptional service. The little things they do make a big difference. We genuinely felt like royalty – hats off to the team!<br><br>Food Review:<br><br>Prawns Ghee Roast – 4/5<br>Very good in taste, but I’ve had slightly better versions in Kochi and coastal areas. Still worth trying.<br><br>Mutton Dum Biryani – 4.5/5<br>Excellent flavors, tender and well-cooked mutton, soft rice – definitely a must-try!<br><br>Special Boneless Chicken Biryani – 4/5<br>As expected, very good and flavorful, but the mutton biryani still wins.<br><br>Special Lemon Chicken – 3.5/5<br>Good taste, but not exceptional. Personally, I prefer their regular Lemon Chicken, which is outstanding.",5,10/08/2025,1.0,exceptional service great food truly royal experience koramangala branchbrbri would rate service simply outstanding dont recall servers name incredible attention detail nextlevel example water bottles ran out replaced instantly without us even asking despite busy made sure got balance portions clearing last scoop plate level attentiveness rarebrbreven person took order displayed excellent etiquette hygiene ordered cocacola can opened using tissue cover hand level cleanliness customer care havent seen elsewherebrbrive branches marathahalli indiranagar jp nagar koramangala must say koramangala stands exceptional service little things make big difference genuinely felt like royalty hats teambrbrfood reviewbrbrprawns ghee roast brvery good taste ive slightly better versions kochi coastal areas still worth tryingbrbrmutton dum biryani brexcellent flavors tender wellcooked mutton soft rice definitely musttrybrbrspecial boneless chicken biryani bras expected good flavorful mutton biryani still winsbrbrspecial lemon chicken brgood taste exceptional personally prefer regular lemon chicken outstanding
