Branch,Author,Review Text,Review Rating,Date,Photos,Likes,Owner Answer,Owner Answer Date,Author Profile,Author Image,Review URL
Kanakpura,AMV,"Personally have had from other outlets, maybe twice or thrice. I’m a vegetarian so only option into Biryani is the Paneer Variant. We ordered the Paneer ghee roast & Paneer Biryani. The ghee roast’s paneer was not upto the mark, the paneer didn’t seem fresh. The rice of the biryani was unusually too dry.<br><br>We were happy there is a new outlet, now so nearby, but the quality seemed compromised!<br>Please improve.",3,23/08/2025,"https://lh3.googleusercontent.com/geougc-cs/AB3l90Abm_paznA-eU2WLcxEII3UeC5Y4OTvP7ZrAwWDrZq_bYO4LoCXWOz-ycSaZoMSznB4aHu7hGKWEP8vVNiQPHwuN6duiQlEAJkPSobfUunJVEzBABw0Kl1NZ8_b2baK2cSRQnbz5WhCvPIm
https://lh3.googleusercontent.com/geougc-cs/AB3l90CAuqv2OezrvJxQYZc19x5t_M40FF17Cp3Cf6-eB3Cwu_v8qsrAwzNG9Q9b0dwBwnsm1h_98HMcWP0UwqULG30ex-xQuTz0bOTN4cY_JSspSO104mnqUmiWGTl9zRNivUYkhEbqiO6N6aT9
https://lh3.googleusercontent.com/geougc-cs/AB3l90CpVZRy-kDcfzdYoJI4x25Llsx0HwhWzcQklyAgAGWaft37h54EybXEA4lhNWVb5JJ5Okurn07QE7-cwazC52z1VM1Oj4PHbJmCyoEzoCmxi1_q4LGML7qCj0WEnfi_JK1asnHRZFoM94Gb
https://lh3.googleusercontent.com/geougc-cs/AB3l90AKKpNDrLa5GIFgz-3yR8KVmQKto41_Fn-i8FJ_nm-ZT4rtsndvo1T3Az0IMPJU5UuxN3cTKIlXF7A8wNrHk7PRoXqXqKsdlFYVXWLFucEav_5K_CqMWhhIHc-fvc2sLZR7YppLEMyv6-wv",,,,https://www.google.com/maps/contrib/110071251657745750945/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjVjvhhTLiOBOChPea5HIZmug5szoF68AwJgIfS7AsyqzSg9VPFmyQ=s64-c-rp-mo-ba4-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Suraj Kumar,"Ordered food from here. Worst quality, found stone",1,20/08/2025,https://lh3.googleusercontent.com/geougc-cs/AB3l90Bfr1EIm0HPmDXX6UyspL8p4d4DOYvLg87zuUI4WmwpKkKuNthKczgb7EyvV206QOqMweNNHhPiux1A4hJMDCbyB1jS921R5h9EZ01LQwryTKiteJCblfE7wzedZyw-33Qf0Sf2b9ZGIFRt,,,,https://www.google.com/maps/contrib/103847597444838422819/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjUVPcelDPfEhnxT0lITXMZ6DhIuDPUgyMSarbsTXaG50m1vAAlz=s64-c-rp-mo-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Kousik Barik,I ordered Chicken boneless briyani and meghana special biriyani it's was amazing taste and good quality and quantity for the first time ordering Meghana foods Kanakapura road food was amazing I love meghana since 2008....,5,25/08/2025,,,,,https://www.google.com/maps/contrib/110896249908563812843/reviews?hl=en-IN,https://lh3.googleusercontent.com/a/ACg8ocKdOHHkdOExOqhV_bYb8_IXVNuTMToSR6RoTV2653GgHcQeIw=s64-c-rp-mo-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,anupam 013,I have ordered meghana special chicken biryani but taste was not at all good. As I love meghana biryani a lot but after having biryani from here I thought not to order again.,1,23/08/2025,,,,,https://www.google.com/maps/contrib/102484346126441621444/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjWEn4JOLc0hnT1K2zzsWt4RdKn_zMe98W2oyXw7CzwwUI3FNvA0=s64-c-rp-mo-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Soumya Tripathy,Meghna special Biryani rice was not good. My family members felt sick after having it yesterday.<br><br>Somehow this outlet doesn’t have the charm of Meghna foods.  taste and quality is not on par. Now I’m thinking to avoid Meghna foods.,1,25/08/2025,,,,,https://www.google.com/maps/contrib/113375806362036818312/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjW47lG_Xfeci8HHHpogclDLwJvkMBpDUin5GWGrcMoy0iCduYsI2A=s64-c-rp-mo-ba2-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Sridhar Siri,"I just took 2 biryani and chicken parcel, biryani was too tangy... Not at all good to eat.",2,10/08/2025,,,,,https://www.google.com/maps/contrib/118393790867922547292/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjWou4Wd5uJaFcDTwMK-dB3wpBpSlBi1t95U9HzJLTUNT8F9VhSM=s64-c-rp-mo-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Yugi P,"I had high expectations from Meghana Biryani, but honestly, the taste was very disappointing. The biryani lacked authentic flavor – it felt bland rather than rich and balanced. The spices didn’t blend well,. For the price, I expected much better quality and taste. Overall, it did not meet and I wouldn’t recommend it.",1,18/08/2025,,,,,https://www.google.com/maps/contrib/116843644269088316978/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjV_Xw7lu2FMI8F4LBJpuZF6yrE9cHgqs6t4ewMYRbiGeBvSgkz3AA=s64-c-rp-mo-ba3-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Vikram,"I took box meghanas special biryani and tbh I quantity of chicken pieces is very less for the price. Instead of giving so much raita and gravy, add extra pcs of chicken. This portion is very good for one person serving but little on a expensive side.",3,19/08/2025,,,,,https://www.google.com/maps/contrib/103158237658752582270/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjVojRZNq2cQzRf65K7Wobd-QZGSBtxvFGBJCAuYqUFNvCEavwfF4Q=s64-c-rp-mo-ba3-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Srinivas Bhat,Tried Aloo dum biryani. Exceptionally good.,5,05/08/2025,,,,,https://www.google.com/maps/contrib/112667124183117431301/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjXYpEjtudvDotDfJVSIOFyoRIc9Su6WZaiOU-LnMQ-epa06bvub=s64-c-rp-mo-ba3-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Amit Nishti,"Food tastes as same as other branches, No parking and only take away opened as of now.",4,10/08/2025,,1.0,,,https://www.google.com/maps/contrib/111116895714808855044/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjXZF3ywP5wAc3nEF2JUD15CU_4ZxM0Xry-Q5acfnUNPgyzTifV-=s64-c-rp-mo-ba3-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,AMV,"Personally have had from other outlets, maybe twice or thrice. I’m a vegetarian so only option into Biryani is the Paneer Variant. We ordered the Paneer ghee roast & Paneer Biryani. The ghee roast’s paneer was not upto the mark, the paneer didn’t seem fresh. The rice of the biryani was unusually too dry.<br><br>We were happy there is a new outlet, now so nearby, but the quality seemed compromised!<br>Please improve.",3,23/08/2025,"https://lh3.googleusercontent.com/geougc-cs/AB3l90Abm_paznA-eU2WLcxEII3UeC5Y4OTvP7ZrAwWDrZq_bYO4LoCXWOz-ycSaZoMSznB4aHu7hGKWEP8vVNiQPHwuN6duiQlEAJkPSobfUunJVEzBABw0Kl1NZ8_b2baK2cSRQnbz5WhCvPIm
https://lh3.googleusercontent.com/geougc-cs/AB3l90CAuqv2OezrvJxQYZc19x5t_M40FF17Cp3Cf6-eB3Cwu_v8qsrAwzNG9Q9b0dwBwnsm1h_98HMcWP0UwqULG30ex-xQuTz0bOTN4cY_JSspSO104mnqUmiWGTl9zRNivUYkhEbqiO6N6aT9
https://lh3.googleusercontent.com/geougc-cs/AB3l90CpVZRy-kDcfzdYoJI4x25Llsx0HwhWzcQklyAgAGWaft37h54EybXEA4lhNWVb5JJ5Okurn07QE7-cwazC52z1VM1Oj4PHbJmCyoEzoCmxi1_q4LGML7qCj0WEnfi_JK1asnHRZFoM94Gb
https://lh3.googleusercontent.com/geougc-cs/AB3l90AKKpNDrLa5GIFgz-3yR8KVmQKto41_Fn-i8FJ_nm-ZT4rtsndvo1T3Az0IMPJU5UuxN3cTKIlXF7A8wNrHk7PRoXqXqKsdlFYVXWLFucEav_5K_CqMWhhIHc-fvc2sLZR7YppLEMyv6-wv",,,,https://www.google.com/maps/contrib/110071251657745750945/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjVjvhhTLiOBOChPea5HIZmug5szoF68AwJgIfS7AsyqzSg9VPFmyQ=s64-c-rp-mo-ba4-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
Kanakpura,Suraj Kumar,"Ordered food from here. Worst quality, found stone",1,20/08/2025,https://lh3.googleusercontent.com/geougc-cs/AB3l90Bfr1EIm0HPmDXX6UyspL8p4d4DOYvLg87zuUI4WmwpKkKuNthKczgb7EyvV206QOqMweNNHhPiux1A4hJMDCbyB1jS921R5h9EZ01LQwryTKiteJCblfE7wzedZyw-33Qf0Sf2b9ZGIFRt,,,,https://www.google.com/maps/contrib/103847597444838422819/reviews?hl=en-IN,https://lh3.googleusercontent.com/a-/ALV-UjUVPcelDPfEhnxT0lITXMZ6DhIuDPUgyMSarbsTXaG50m1vAAlz=s64-c-rp-mo-br100,"https://www.google.com/search?hl=en-IN&gl=in&q=Meghana+Foods+Kanakapura+Road,+15,+Swamy+Vivekananda+Rd+2nd+Cross+Rd,+Doddakallasandra,+Bangalore+City+Municipal+Corporation+Layout,+Bengaluru,+Karnataka+560062&ludocid=294317874867106425&lsig=AB86z5UUSxKvchimAnsS1sXHtUmQ&_rs_=1#lrd="
